Date,Lake,Species,WaterTemp,CPUE,LakeSize,MaxDepth,MeanDepth,SDI,Year,logPop,sdlogPop
11/8/2018,S Twin,BIB,2.4,76.97613325,224.601,1.64592,1.09728,1.3,2018,10.44222985,2.844501878
11/8/2018,S Twin,COC,2.4,96.80522515,224.601,1.64592,1.09728,1.3,2018,9.936003144,0.187490321
10/15/2018,S Twin,BIB,6.1,89,224.601,1.64592,1.09728,1.3,2018,10.44222985,2.844501878
10/15/2018,S Twin,COC,6.1,7,224.601,1.64592,1.09728,1.3,2018,9.936003144,0.187490321
4/28/2019,Silver,BIB,8.89,0,421.2778,3.23088,1.9812,1.8,2019,8.234034208,0.254594485
4/28/2019,Silver,COC,8.89,0,421.2778,3.23088,1.9812,1.8,2019,9.124128675,1.517427129
10/11/2018,S Twin,BIB,8.9,118,224.601,1.64592,1.09728,1.3,2018,10.44222985,2.844501878
10/11/2018,S Twin,COC,8.9,56,224.601,1.64592,1.09728,1.3,2018,9.936003144,0.187490321
11/1/2018,N Twin,BIB,9.1,13.03235843,183.323,3.6576,2.52984,1.9,2018,9.840334738,0.003848481
11/1/2018,N Twin,COC,9.1,10.43879813,183.323,3.6576,2.52984,1.9,2018,8.246958033,0.0081017
10/20/2019,5 Island,BIB,9.777,7.468582132,393.759,7.58952,1.70688,3.6,2019,7.172424577,1.517427129
10/20/2019,5 Island,COC,9.777,6.624810817,393.759,7.58952,1.70688,3.6,2019,9.890300991,0.325747676
10/14/2019,Blue,COC,10,7,108.86,3.56616,1.6764,4.6,2019,10.15272761,0.232919331
10/24/2018,Blue,COC,10,39,108.86,3.56616,1.6764,4.6,2018,11.18636395,0.001045232
10/12/2018,N Twin,BIB,10.6,25.6,183.323,3.6576,2.52984,1.9,2018,9.840334738,0.003848481
10/23/2018,Blue,COC,10.6,69,108.86,3.56616,1.6764,4.6,2018,11.18636395,0.001045232
10/12/2018,N Twin,COC,10.6,24,183.323,3.6576,2.52984,1.9,2018,8.246958033,0.0081017
10/7/2019,S Twin,BIB,11.66667,45,224.601,1.64592,1.09728,1.3,2019,9.36288977,0.758527616
10/7/2019,S Twin,COC,11.66667,22,224.601,1.64592,1.09728,1.3,2019,9.608848,0.283709602
5/7/2019,S Twin,BIB,12.78,11.30058199,224.601,1.64592,1.09728,1.3,2019,9.36288977,0.758527616
5/7/2019,S Twin,COC,12.78,6.387901333,224.601,1.64592,1.09728,1.3,2019,9.608848,0.283709602
10/10/2018,N Twin,BIB,12.8,60,183.323,3.6576,2.52984,1.9,2018,9.840334738,0.003848481
10/10/2018,N Twin,COC,12.8,4,183.323,3.6576,2.52984,1.9,2018,8.246958033,0.0081017
5/13/2019,N Twin,BIB,13,10,183.323,3.6576,2.52984,1.9,2019,9.924416996,0.143644194
5/13/2019,N Twin,COC,13,17.33333333,183.323,3.6576,2.52984,1.9,2019,7.818832444,0.198249287
5/20/2019,Silver,BIB,13.22,3.607559315,421.2778,3.23088,1.9812,1.8,2019,8.234034208,0.254594485
5/20/2019,Silver,COC,13.22,8.979131315,421.2778,3.23088,1.9812,1.8,2019,9.124128675,1.517427129
5/6/2019,N Twin,BIB,14,12,183.323,3.6576,2.52984,1.9,2019,9.924416996,0.143644194
5/6/2019,N Twin,COC,14,19,183.323,3.6576,2.52984,1.9,2019,7.818832444,0.198249287
10/3/2019,S Twin,BIB,14.44444,14.66666667,224.601,1.64592,1.09728,1.3,2019,9.36288977,0.758527616
10/3/2019,S Twin,COC,14.44444,8,224.601,1.64592,1.09728,1.3,2019,9.608848,0.283709602
10/4/2019,N Twin,BIB,15.55556,5.333333333,183.323,3.6576,2.52984,1.9,2019,9.924416996,0.143644194
10/4/2019,N Twin,COC,15.55556,12,183.323,3.6576,2.52984,1.9,2019,7.818832444,0.198249287
5/15/2019,Storm,BIB,15.56,11.89427313,1253.311,6.21792,2.62128,1.7,2019,5.062595033,1.517427129
5/15/2019,Storm,COC,15.56,12.57274993,1253.311,6.21792,2.62128,1.7,2019,9.646464001,0.246711704
5/15/2019,S Twin,BIB,16,219,224.601,1.64592,1.09728,1.3,2019,9.36288977,0.758527616
5/15/2019,S Twin,COC,16,17,224.601,1.64592,1.09728,1.3,2019,9.608848,0.283709602
5/27/2019,5 Island,BIB,17.17,2.790033765,393.759,7.58952,1.70688,3.6,2019,7.172424577,1.517427129
5/27/2019,5 Island,COC,17.17,4.30952099,393.759,7.58952,1.70688,3.6,2019,9.890300991,0.325747676
5/21/2018,S Twin,BIB,17.2,8,224.601,1.64592,1.09728,1.3,2018,10.44222985,2.844501878
5/21/2018,S Twin,COC,17.2,12,224.601,1.64592,1.09728,1.3,2018,9.936003144,0.187490321
5/21/2018,Storm,COC,17.2,19.93355482,1253.311,6.21792,2.62128,1.7,2018,9.132486933,0.124541592
5/17/2019,N Twin,BIB,17.5,61.48859188,183.323,3.6576,2.52984,1.9,2019,9.924416996,0.143644194
5/17/2019,N Twin,COC,17.5,6.809962863,183.323,3.6576,2.52984,1.9,2019,7.818832444,0.198249287
6/13/2019,Storm,BIB,17.9,0,1253.311,6.21792,2.62128,1.7,2019,5.062595033,1.517427129
6/13/2019,Storm,COC,17.9,6.975032453,1253.311,6.21792,2.62128,1.7,2019,9.646464001,0.246711704
10/2/2019,N Twin,BIB,18.33333,8,183.323,3.6576,2.52984,1.9,2019,9.924416996,0.143644194
10/2/2019,N Twin,COC,18.33333,8,183.323,3.6576,2.52984,1.9,2019,7.818832444,0.198249287
6/3/2019,Silver,BIB,18.4,12.36989901,421.2778,3.23088,1.9812,1.8,2019,8.234034208,0.254594485
5/31/2019,Storm,BIB,18.4,3.654822335,1253.311,6.21792,2.62128,1.7,2019,5.062595033,1.517427129
6/3/2019,Silver,COC,18.4,13.08592832,421.2778,3.23088,1.9812,1.8,2019,9.124128675,1.517427129
5/31/2019,Storm,COC,18.4,29.48235252,1253.311,6.21792,2.62128,1.7,2019,9.646464001,0.246711704
9/9/2018,Storm,BIB,18.8,3.766298371,1253.311,6.21792,2.62128,1.7,2018,9.526901404,1.517427129
9/9/2018,Storm,COC,18.8,16.42625004,1253.311,6.21792,2.62128,1.7,2018,9.132486933,0.124541592
5/18/2018,N Twin,BIB,19.1,8,183.323,3.6576,2.52984,1.9,2018,9.840334738,0.003848481
5/23/2018,5 Island,BIB,19.2,5.508798776,393.759,7.58952,1.70688,3.6,2018,7.740664402,0.5326106
6/12/2019,Silver,BIB,19.2,8.146685498,421.2778,3.23088,1.9812,1.8,2019,8.234034208,0.254594485
5/23/2018,5 Island,COC,19.2,14.87808001,393.759,7.58952,1.70688,3.6,2018,10.15805225,0.12265302
5/30/2019,Blue,COC,19.2,51.43910843,108.86,3.56616,1.6764,4.6,2019,10.15272761,0.232919331
6/12/2019,Silver,COC,19.2,9.470856303,421.2778,3.23088,1.9812,1.8,2019,9.124128675,1.517427129
5/18/2018,Silver,BIB,19.3,111.3142058,421.2778,3.23088,1.9812,1.8,2018,9.432363296,0.758527616
5/18/2018,Silver,COC,19.3,27.50112584,421.2778,3.23088,1.9812,1.8,2018,9.185535253,0.161253619
9/8/2018,Silver,BIB,19.4,8.8091354,421.2778,3.23088,1.9812,1.8,2018,9.432363296,0.758527616
6/4/2019,Storm,BIB,19.4,6.098041895,1253.311,6.21792,2.62128,1.7,2019,5.062595033,1.517427129
9/8/2018,Silver,COC,19.4,16.80062387,421.2778,3.23088,1.9812,1.8,2018,9.185535253,0.161253619
6/4/2019,Storm,COC,19.4,35.44095618,1253.311,6.21792,2.62128,1.7,2019,9.646464001,0.246711704
6/14/2019,5 Island,BIB,19.9,1.871101871,393.759,7.58952,1.70688,3.6,2019,7.172424577,1.517427129
6/14/2019,5 Island,COC,19.9,7.020961437,393.759,7.58952,1.70688,3.6,2019,9.890300991,0.325747676
6/3/2019,N Twin,BIB,20,6,183.323,3.6576,2.52984,1.9,2019,9.924416996,0.143644194
6/4/2019,N Twin,BIB,20,5.6,183.323,3.6576,2.52984,1.9,2019,9.924416996,0.143644194
5/17/2019,Blue,COC,20,61,108.86,3.56616,1.6764,4.6,2019,10.15272761,0.232919331
6/3/2019,N Twin,COC,20,18.66666667,183.323,3.6576,2.52984,1.9,2019,7.818832444,0.198249287
6/4/2019,N Twin,COC,20,18,183.323,3.6576,2.52984,1.9,2019,7.818832444,0.198249287
6/11/2019,S Twin,BIB,20.55556,4,224.601,1.64592,1.09728,1.3,2019,9.36288977,0.758527616
6/11/2019,S Twin,COC,20.55556,26,224.601,1.64592,1.09728,1.3,2019,9.608848,0.283709602
5/24/2018,Silver,BIB,20.6,22.49828508,421.2778,3.23088,1.9812,1.8,2018,9.432363296,0.758527616
5/24/2018,Silver,COC,20.6,20.88165646,421.2778,3.23088,1.9812,1.8,2018,9.185535253,0.161253619
6/11/2019,Center,BIB,20.7,9,89.0308,5.45592,3.71856,1.7,2019,8.253227646,1.00578373
6/11/2019,Center,COC,20.7,4.168976546,89.0308,5.45592,3.71856,1.7,2019,7.280008253,0.366823759
6/3/2019,Center,BIB,20.9,26.09612572,89.0308,5.45592,3.71856,1.7,2019,8.253227646,1.00578373
6/3/2019,Center,COC,20.9,13.80917954,89.0308,5.45592,3.71856,1.7,2019,7.280008253,0.366823759
9/8/2019,5 Island,BIB,21,2,393.759,7.58952,1.70688,3.6,2019,7.172424577,1.517427129
5/17/2018,Center,BIB,21,45.40498087,89.0308,5.45592,3.71856,1.7,2018,8.360071436,0.295875418
9/7/2019,Center,BIB,21,13.43571429,89.0308,5.45592,3.71856,1.7,2019,8.253227646,1.00578373
9/8/2019,5 Island,COC,21,9.317647059,393.759,7.58952,1.70688,3.6,2019,9.890300991,0.325747676
5/17/2018,Center,COC,21,53.5261866,89.0308,5.45592,3.71856,1.7,2018,8.774312958,0.272926459
9/7/2019,Center,COC,21,2.142857143,89.0308,5.45592,3.71856,1.7,2019,7.280008253,0.366823759
5/25/2018,Center,BIB,21.1,11.67567568,89.0308,5.45592,3.71856,1.7,2018,8.360071436,0.295875418
5/25/2018,Center,COC,21.1,46.09129156,89.0308,5.45592,3.71856,1.7,2018,8.774312958,0.272926459
9/4/2019,S Twin,BIB,21.11111,4,224.601,1.64592,1.09728,1.3,2019,9.36288977,0.758527616
9/4/2019,S Twin,COC,21.11111,58,224.601,1.64592,1.09728,1.3,2019,9.608848,0.283709602
6/17/2019,5 Island,BIB,21.2,2.411252512,393.759,7.58952,1.70688,3.6,2019,7.172424577,1.517427129
6/18/2019,Silver,BIB,21.2,6.260869565,421.2778,3.23088,1.9812,1.8,2019,8.234034208,0.254594485
6/17/2019,5 Island,COC,21.2,18.90949784,393.759,7.58952,1.70688,3.6,2019,9.890300991,0.325747676
6/18/2019,Silver,COC,21.2,21.10291889,421.2778,3.23088,1.9812,1.8,2019,9.124128675,1.517427129
9/6/2019,S Twin,BIB,21.66667,4,224.601,1.64592,1.09728,1.3,2019,9.36288977,0.758527616
9/6/2019,S Twin,COC,21.66667,34,224.601,1.64592,1.09728,1.3,2019,9.608848,0.283709602
8/1/2019,Storm,BIB,21.72,4,1253.311,6.21792,2.62128,1.7,2019,5.062595033,1.517427129
8/1/2019,Storm,COC,21.72,15.32375849,1253.311,6.21792,2.62128,1.7,2019,9.646464001,0.246711704
9/8/2018,Center,BIB,21.9,57.23100499,89.0308,5.45592,3.71856,1.7,2018,8.360071436,0.295875418
9/8/2018,Center,COC,21.9,12.69384628,89.0308,5.45592,3.71856,1.7,2018,8.774312958,0.272926459
9/22/2019,Center,BIB,22,18.72982826,89.0308,5.45592,3.71856,1.7,2019,8.253227646,1.00578373
9/22/2019,Storm,BIB,22,1.325966851,1253.311,6.21792,2.62128,1.7,2019,5.062595033,1.517427129
9/7/2019,Storm,BIB,22,2.142857143,1253.311,6.21792,2.62128,1.7,2019,5.062595033,1.517427129
9/22/2019,Center,COC,22,4,89.0308,5.45592,3.71856,1.7,2019,7.280008253,0.366823759
9/22/2019,Storm,COC,22,7.935506667,1253.311,6.21792,2.62128,1.7,2019,9.646464001,0.246711704
9/7/2019,Storm,COC,22,28.6442577,1253.311,6.21792,2.62128,1.7,2019,9.646464001,0.246711704
9/9/2018,5 Island,BIB,22.1,28.47894411,393.759,7.58952,1.70688,3.6,2018,7.740664402,0.5326106
9/9/2018,5 Island,COC,22.1,7.862329508,393.759,7.58952,1.70688,3.6,2018,10.15805225,0.12265302
6/26/2019,Storm,COC,22.1,6.159110351,1253.311,6.21792,2.62128,1.7,2019,9.646464001,0.246711704
9/6/2018,N Twin,BIB,22.2,11,183.323,3.6576,2.52984,1.9,2018,9.840334738,0.003848481
6/5/2018,S Twin,BIB,22.2,4,224.601,1.64592,1.09728,1.3,2018,10.44222985,2.844501878
8/31/2018,S Twin,BIB,22.2,8,224.601,1.64592,1.09728,1.3,2018,10.44222985,2.844501878
9/6/2018,N Twin,COC,22.2,17,183.323,3.6576,2.52984,1.9,2018,8.246958033,0.0081017
6/5/2018,S Twin,COC,22.2,57,224.601,1.64592,1.09728,1.3,2018,9.936003144,0.187490321
8/31/2018,S Twin,COC,22.2,21,224.601,1.64592,1.09728,1.3,2018,9.936003144,0.187490321
9/5/2019,N Twin,BIB,22.22222,13,183.323,3.6576,2.52984,1.9,2019,9.924416996,0.143644194
6/12/2019,Blue,COC,22.22222,109,108.86,3.56616,1.6764,4.6,2019,10.15272761,0.232919331
9/5/2019,N Twin,COC,22.22222,2.666666667,183.323,3.6576,2.52984,1.9,2019,7.818832444,0.198249287
8/2/2018,Silver,COC,22.3,14.88529211,421.2778,3.23088,1.9812,1.8,2018,9.185535253,0.161253619
9/3/2019,N Twin,BIB,22.77778,5.333333333,183.323,3.6576,2.52984,1.9,2019,9.924416996,0.143644194
6/18/2019,Blue,COC,22.77778,126,108.86,3.56616,1.6764,4.6,2019,10.15272761,0.232919331
9/10/2019,Blue,COC,22.77778,54,108.86,3.56616,1.6764,4.6,2019,10.15272761,0.232919331
9/3/2019,N Twin,COC,22.77778,8,183.323,3.6576,2.52984,1.9,2019,7.818832444,0.198249287
6/17/2019,5 Island,COC,22.8,18.51248626,393.759,7.58952,1.70688,3.6,2019,9.890300991,0.325747676
6/25/2019,5 Island,COC,22.8,18.15151238,393.759,7.58952,1.70688,3.6,2019,9.890300991,0.325747676
6/14/2018,Silver,COC,22.8,4,421.2778,3.23088,1.9812,1.8,2018,9.185535253,0.161253619
9/21/2019,5 Island,BIB,23,9.816765134,393.759,7.58952,1.70688,3.6,2019,7.172424577,1.517427129
6/7/2018,S Twin,BIB,23,10.66666667,224.601,1.64592,1.09728,1.3,2018,10.44222985,2.844501878
6/4/2018,Silver,BIB,23,5.79971278,421.2778,3.23088,1.9812,1.8,2018,9.432363296,0.758527616
9/21/2019,5 Island,COC,23,6.556299755,393.759,7.58952,1.70688,3.6,2019,9.890300991,0.325747676
6/7/2018,S Twin,COC,23,105,224.601,1.64592,1.09728,1.3,2018,9.936003144,0.187490321
6/4/2018,Silver,COC,23,18.94411844,421.2778,3.23088,1.9812,1.8,2018,9.185535253,0.161253619
8/2/2019,5 Island,COC,23.2,14.79642548,393.759,7.58952,1.70688,3.6,2019,9.890300991,0.325747676
6/6/2018,N Twin,BIB,23.3,18.66666667,183.323,3.6576,2.52984,1.9,2018,9.840334738,0.003848481
9/5/2018,N Twin,BIB,23.3,12,183.323,3.6576,2.52984,1.9,2018,9.840334738,0.003848481
9/4/2018,S Twin,BIB,23.3,4,224.601,1.64592,1.09728,1.3,2018,10.44222985,2.844501878
6/6/2018,N Twin,COC,23.3,27.2,183.323,3.6576,2.52984,1.9,2018,8.246958033,0.0081017
9/5/2018,N Twin,COC,23.3,32,183.323,3.6576,2.52984,1.9,2018,8.246958033,0.0081017
9/4/2018,S Twin,COC,23.3,22,224.601,1.64592,1.09728,1.3,2018,9.936003144,0.187490321
9/11/2019,Blue,COC,23.33333,44,108.86,3.56616,1.6764,4.6,2019,10.15272761,0.232919331
6/6/2018,5 Island,BIB,23.5,10.90122988,393.759,7.58952,1.70688,3.6,2018,7.740664402,0.5326106
6/27/2018,Storm,BIB,23.5,2.580865583,1253.311,6.21792,2.62128,1.7,2018,9.526901404,1.517427129
6/6/2018,5 Island,COC,23.5,23.75021377,393.759,7.58952,1.70688,3.6,2018,10.15805225,0.12265302
6/27/2018,Storm,COC,23.5,36.36197836,1253.311,6.21792,2.62128,1.7,2018,9.132486933,0.124541592
6/11/2018,Center,BIB,23.6,4.406364749,89.0308,5.45592,3.71856,1.7,2018,8.360071436,0.295875418
6/11/2018,Center,COC,23.6,16.23417482,89.0308,5.45592,3.71856,1.7,2018,8.774312958,0.272926459
6/4/2018,Center,BIB,23.7,11.77753544,89.0308,5.45592,3.71856,1.7,2018,8.360071436,0.295875418
7/19/2018,Center,BIB,23.7,11.84156318,89.0308,5.45592,3.71856,1.7,2018,8.360071436,0.295875418
6/4/2018,Center,COC,23.7,14.48857728,89.0308,5.45592,3.71856,1.7,2018,8.774312958,0.272926459
7/19/2018,Center,COC,23.7,12.09510175,89.0308,5.45592,3.71856,1.7,2018,8.774312958,0.272926459
8/1/2019,N Twin,BIB,23.88889,0,183.323,3.6576,2.52984,1.9,2019,9.924416996,0.143644194
8/2/2019,S Twin,BIB,23.88889,4,224.601,1.64592,1.09728,1.3,2019,9.36288977,0.758527616
8/1/2019,N Twin,COC,23.88889,4,183.323,3.6576,2.52984,1.9,2019,7.818832444,0.198249287
8/2/2019,S Twin,COC,23.88889,36,224.601,1.64592,1.09728,1.3,2019,9.608848,0.283709602
6/4/2018,N Twin,BIB,23.9,7,183.323,3.6576,2.52984,1.9,2018,9.840334738,0.003848481
6/7/2018,Storm,BIB,23.9,5.234313469,1253.311,6.21792,2.62128,1.7,2018,9.526901404,1.517427129
6/4/2018,N Twin,COC,23.9,22,183.323,3.6576,2.52984,1.9,2018,8.246958033,0.0081017
6/7/2018,Storm,COC,23.9,81.66916038,1253.311,6.21792,2.62128,1.7,2018,9.132486933,0.124541592
9/21/2019,Silver,BIB,24,3.801478353,421.2778,3.23088,1.9812,1.8,2019,8.234034208,0.254594485
9/21/2019,Silver,COC,24,20.80549067,421.2778,3.23088,1.9812,1.8,2019,9.124128675,1.517427129
6/8/2018,Storm,BIB,24.1,7.505211953,1253.311,6.21792,2.62128,1.7,2018,9.526901404,1.517427129
6/8/2018,Storm,COC,24.1,68.22107531,1253.311,6.21792,2.62128,1.7,2018,9.132486933,0.124541592
6/9/2018,Silver,BIB,24.2,17.21284421,421.2778,3.23088,1.9812,1.8,2018,9.432363296,0.758527616
6/9/2018,Silver,COC,24.2,21.07886784,421.2778,3.23088,1.9812,1.8,2018,9.185535253,0.161253619
7/11/2019,S Twin,BIB,24.22222,4,224.601,1.64592,1.09728,1.3,2019,9.36288977,0.758527616
7/11/2019,S Twin,COC,24.22222,45,224.601,1.64592,1.09728,1.3,2019,9.608848,0.283709602
8/6/2018,N Twin,BIB,24.4,8,183.323,3.6576,2.52984,1.9,2018,9.840334738,0.003848481
8/6/2018,N Twin,COC,24.4,25.33333333,183.323,3.6576,2.52984,1.9,2018,8.246958033,0.0081017
8/3/2018,S Twin,COC,24.4,30,224.601,1.64592,1.09728,1.3,2018,9.936003144,0.187490321
6/6/2019,S Twin,BIB,24.44444,8,224.601,1.64592,1.09728,1.3,2019,9.36288977,0.758527616
6/6/2019,S Twin,COC,24.44444,24,224.601,1.64592,1.09728,1.3,2019,9.608848,0.283709602
7/20/2018,5 Island,BIB,24.6,6.304728546,393.759,7.58952,1.70688,3.6,2018,7.740664402,0.5326106
7/20/2018,5 Island,COC,24.6,23.4865871,393.759,7.58952,1.70688,3.6,2018,10.15805225,0.12265302
8/3/2018,Storm,COC,24.8,14.51043746,1253.311,6.21792,2.62128,1.7,2018,9.132486933,0.124541592
8/6/2019,S Twin,BIB,25,4,224.601,1.64592,1.09728,1.3,2019,9.36288977,0.758527616
8/7/2019,Silver,BIB,25,4,421.2778,3.23088,1.9812,1.8,2019,8.234034208,0.254594485
8/6/2019,S Twin,COC,25,50,224.601,1.64592,1.09728,1.3,2019,9.608848,0.283709602
8/7/2019,Silver,COC,25,14.06474256,421.2778,3.23088,1.9812,1.8,2019,9.124128675,1.517427129
8/2/2018,Center,BIB,25.1,10.20793951,89.0308,5.45592,3.71856,1.7,2018,8.360071436,0.295875418
8/2/2018,Center,COC,25.1,7.561879205,89.0308,5.45592,3.71856,1.7,2018,8.774312958,0.272926459
8/8/2019,Storm,BIB,25.11,0,1253.311,6.21792,2.62128,1.7,2019,5.062595033,1.517427129
8/8/2019,Storm,COC,25.11,19.80691641,1253.311,6.21792,2.62128,1.7,2019,9.646464001,0.246711704
8/6/2019,5 Island,BIB,25.2,2,393.759,7.58952,1.70688,3.6,2019,7.172424577,1.517427129
8/6/2019,5 Island,COC,25.2,7.741569197,393.759,7.58952,1.70688,3.6,2019,9.890300991,0.325747676
8/8/2018,Storm,COC,25.2,18.87976728,1253.311,6.21792,2.62128,1.7,2018,9.132486933,0.124541592
8/1/2018,5 Island,BIB,25.3,3.530238276,393.759,7.58952,1.70688,3.6,2018,7.740664402,0.5326106
7/11/2018,Silver,BIB,25.3,14.79475472,421.2778,3.23088,1.9812,1.8,2018,9.432363296,0.758527616
8/1/2018,5 Island,COC,25.3,13.4288508,393.759,7.58952,1.70688,3.6,2018,10.15805225,0.12265302
7/11/2018,Silver,COC,25.3,7.543949714,421.2778,3.23088,1.9812,1.8,2018,9.185535253,0.161253619
8/5/2019,N Twin,BIB,25.55556,0,183.323,3.6576,2.52984,1.9,2019,9.924416996,0.143644194
8/5/2019,N Twin,COC,25.55556,3,183.323,3.6576,2.52984,1.9,2019,7.818832444,0.198249287
7/3/2018,N Twin,BIB,25.6,4,183.323,3.6576,2.52984,1.9,2018,9.840334738,0.003848481
8/1/2018,N Twin,BIB,25.6,4,183.323,3.6576,2.52984,1.9,2018,9.840334738,0.003848481
7/3/2018,N Twin,COC,25.6,26,183.323,3.6576,2.52984,1.9,2018,8.246958033,0.0081017
8/1/2018,N Twin,COC,25.6,16,183.323,3.6576,2.52984,1.9,2018,8.246958033,0.0081017
8/7/2018,S Twin,COC,25.6,61,224.601,1.64592,1.09728,1.3,2018,9.936003144,0.187490321
8/5/2019,Center,BIB,25.8,1.333333333,89.0308,5.45592,3.71856,1.7,2019,8.253227646,1.00578373
8/5/2019,Center,COC,25.8,3.988950276,89.0308,5.45592,3.71856,1.7,2019,7.280008253,0.366823759
8/6/2018,Silver,COC,25.8,18.93874005,421.2778,3.23088,1.9812,1.8,2018,9.185535253,0.161253619
7/5/2018,S Twin,BIB,26.4,4,224.601,1.64592,1.09728,1.3,2018,10.44222985,2.844501878
7/5/2018,S Twin,COC,26.4,48,224.601,1.64592,1.09728,1.3,2018,9.936003144,0.187490321
8/7/2018,Blue,COC,26.5,43.77578273,108.86,3.56616,1.6764,4.6,2018,11.18636395,0.001045232
8/7/2019,Blue,COC,26.66667,103,108.86,3.56616,1.6764,4.6,2019,10.15272761,0.232919331
8/9/2019,Blue,COC,26.66667,77,108.86,3.56616,1.6764,4.6,2019,10.15272761,0.232919331
6/18/2018,S Twin,BIB,26.7,4,224.601,1.64592,1.09728,1.3,2018,10.44222985,2.844501878
6/18/2018,S Twin,COC,26.7,105,224.601,1.64592,1.09728,1.3,2018,9.936003144,0.187490321
7/30/2019,Center,BIB,26.78,9.172543678,89.0308,5.45592,3.71856,1.7,2019,8.253227646,1.00578373
7/30/2019,Center,COC,26.78,6.255150713,89.0308,5.45592,3.71856,1.7,2019,7.280008253,0.366823759
7/12/2019,Blue,COC,26.94444,112,108.86,3.56616,1.6764,4.6,2019,10.15272761,0.232919331
7/2/2019,N Twin,BIB,27,8,183.323,3.6576,2.52984,1.9,2019,9.924416996,0.143644194
7/2/2019,N Twin,COC,27,23,183.323,3.6576,2.52984,1.9,2019,7.818832444,0.198249287
7/3/2019,S Twin,BIB,27.05556,4,224.601,1.64592,1.09728,1.3,2019,9.36288977,0.758527616
7/3/2019,S Twin,COC,27.05556,16,224.601,1.64592,1.09728,1.3,2019,9.608848,0.283709602
7/12/2018,5 Island,BIB,27.5,7.164179104,393.759,7.58952,1.70688,3.6,2018,7.740664402,0.5326106
7/12/2018,5 Island,COC,27.5,9.181024127,393.759,7.58952,1.70688,3.6,2018,10.15805225,0.12265302
7/8/2019,N Twin,BIB,27.77778,4,183.323,3.6576,2.52984,1.9,2019,9.924416996,0.143644194
7/10/2019,Blue,COC,27.77778,154,108.86,3.56616,1.6764,4.6,2019,10.15272761,0.232919331
7/8/2019,N Twin,COC,27.77778,18,183.323,3.6576,2.52984,1.9,2019,7.818832444,0.198249287
7/18/2018,Silver,BIB,27.8,8.68524862,421.2778,3.23088,1.9812,1.8,2018,9.432363296,0.758527616
7/18/2018,Silver,COC,27.8,8.1720687,421.2778,3.23088,1.9812,1.8,2018,9.185535253,0.161253619
7/30/2019,Silver,BIB,28.2,4,421.2778,3.23088,1.9812,1.8,2019,8.234034208,0.254594485
7/30/2019,Silver,COC,28.2,25.27410751,421.2778,3.23088,1.9812,1.8,2019,9.124128675,1.517427129
8/7/2019,Center,BIB,28.33,0,89.0308,5.45592,3.71856,1.7,2019,8.253227646,1.00578373
8/7/2019,Center,COC,28.33,6.580256952,89.0308,5.45592,3.71856,1.7,2019,7.280008253,0.366823759
8/6/2019,Silver,BIB,29.17,35.9600444,421.2778,3.23088,1.9812,1.8,2019,8.234034208,0.254594485
8/6/2019,Silver,COC,29.17,29.83933526,421.2778,3.23088,1.9812,1.8,2019,9.124128675,1.517427129
7/16/2018,Storm,BIB,29.9,3.045685279,1253.311,6.21792,2.62128,1.7,2018,9.526901404,1.517427129
7/16/2018,Storm,COC,29.9,53.97871507,1253.311,6.21792,2.62128,1.7,2018,9.132486933,0.124541592
7/11/2018,Center,BIB,31.1,15.41913553,89.0308,5.45592,3.71856,1.7,2018,8.360071436,0.295875418
7/11/2018,Center,COC,31.1,10.11515461,89.0308,5.45592,3.71856,1.7,2018,8.774312958,0.272926459
